title,author,assignees,number,url,state,closedAt,createdAt,updatedAt,labels,issues
[Critical Bug] Fortnite hosts cant edit game style,brianmazzocchi,{'brianmazzocchi'},1730,https://github.com/weiks/esports-backend/pull/1730,OPEN,,2022-06-30T19:11:47Z,2022-06-30T21:06:05Z,"{'bug', 'critical'}","[{'assignees': {'brianmazzocchi'}, 'labels': {'bug', 'critical'}, 'number': 1716, 'title': '[Bug] Unable to switch game modes in Fortnite events', 'url': 'https://github.com/weiks/esports-backend/issues/1716', 'state': 'OPEN', 'updatedAt': '2022-06-30T12:54:10Z'}]"
Paypal payment method,mikiasyonas,{'mikiasyonas'},1732,https://github.com/weiks/esports-backend/pull/1732,OPEN,,2022-06-30T20:27:06Z,2022-06-30T20:54:04Z,"{'enhancement', 'good for newcomers', 'interview'}","[{'assignees': {'mikiasyonas'}, 'labels': {'enhancement', 'good for newcomers', 'interview'}, 'number': 1417, 'title': '[Enhancement] Add support for buying Quarters via `checkout.com` from PayPal', 'url': 'https://github.com/weiks/esports-backend/issues/1417', 'state': 'OPEN', 'updatedAt': '2022-06-23T13:37:33Z'}]"
Yunite authorize servers button,gonzalovelasco,{'gonzalovelasco'},1731,https://github.com/weiks/esports-backend/pull/1731,OPEN,,2022-06-30T19:30:37Z,2022-06-30T19:48:07Z,set(),[]
1417 enhancement add support for buying quarters via checkoutcom from paypal,mikiasyonas,{'mikiasyonas'},1699,https://github.com/weiks/esports-backend/pull/1699,CLOSED,2022-06-30T19:25:53Z,2022-06-22T12:06:50Z,2022-06-30T19:26:02Z,"{'enhancement', 'good for newcomers', 'interview'}","[{'assignees': {'mikiasyonas'}, 'labels': {'enhancement', 'good for newcomers', 'interview'}, 'number': 1417, 'title': '[Enhancement] Add support for buying Quarters via `checkout.com` from PayPal', 'url': 'https://github.com/weiks/esports-backend/issues/1417', 'state': 'OPEN', 'updatedAt': '2022-06-23T13:37:33Z'}]"
Doc: Tech debt plan,bmcilw1,{'bmcilw1'},1703,https://github.com/weiks/esports-backend/pull/1703,OPEN,,2022-06-23T16:14:20Z,2022-06-30T19:05:24Z,{'docs'},[]
Critical Bug:  Hosts of Fortnite games can't edit styles,brianmazzocchi,{'brianmazzocchi'},1729,https://github.com/weiks/esports-backend/pull/1729,CLOSED,2022-06-30T19:02:59Z,2022-06-30T18:55:29Z,2022-06-30T19:02:59Z,"{'bug', 'critical'}",[]
1502 Show discord server list,brianmazzocchi,{'brianmazzocchi'},1719,https://github.com/weiks/esports-backend/pull/1719,MERGED,2022-06-30T18:53:29Z,2022-06-28T20:22:42Z,2022-06-30T18:53:30Z,set(),"[{'assignees': {'brianmazzocchi'}, 'labels': set(), 'number': 1502, 'title': '[Frontend] Add drop-down to select a Discord server during event creation for Fortnite events', 'url': 'https://github.com/weiks/esports-backend/issues/1502', 'state': 'CLOSED', 'updatedAt': '2022-06-24T18:37:11Z'}]"
Add logs for request id and request time,Mathspy,{'Mathspy'},1728,https://github.com/weiks/esports-backend/pull/1728,MERGED,2022-06-30T18:20:47Z,2022-06-30T16:53:47Z,2022-06-30T18:20:48Z,set(),[]
Add debug log output to `/api/v1/wallets/@me`,alexangc,{'alexangc'},1726,https://github.com/weiks/esports-backend/pull/1726,MERGED,2022-06-30T17:28:00Z,2022-06-30T14:51:22Z,2022-06-30T17:28:01Z,set(),[]
Add reference to troubleshooting issue in the README,alexangc,{'alexangc'},1727,https://github.com/weiks/esports-backend/pull/1727,MERGED,2022-06-30T17:27:31Z,2022-06-30T15:00:12Z,2022-06-30T17:27:31Z,{'docs'},[]
Add extra fields to error logs for checkout.com purchases,alexangc,{'alexangc'},1725,https://github.com/weiks/esports-backend/pull/1725,OPEN,,2022-06-30T14:15:38Z,2022-06-30T17:10:01Z,set(),[]
Enqueue job when starting Yunite event,alexangc,{'alexangc'},1724,https://github.com/weiks/esports-backend/pull/1724,MERGED,2022-06-30T13:46:44Z,2022-06-29T19:29:53Z,2022-06-30T13:46:45Z,set(),"[{'assignees': {'alexangc'}, 'labels': set(), 'number': 1540, 'title': '[Backend] On /changeStatus to STARTED for Yunite events, join users to Yunite', 'url': 'https://github.com/weiks/esports-backend/issues/1540', 'state': 'CLOSED', 'updatedAt': '2022-06-30T13:55:42Z'}]"
Create a Yunite job queue worker to send teams joining requests to Yunite,Mathspy,{'Mathspy'},1722,https://github.com/weiks/esports-backend/pull/1722,MERGED,2022-06-30T13:07:55Z,2022-06-29T14:20:22Z,2022-06-30T13:07:56Z,set(),"[{'assignees': {'Mathspy'}, 'labels': set(), 'number': 1714, 'title': 'Create a single worker that can consume BullMQ tasks', 'url': 'https://github.com/weiks/esports-backend/issues/1714', 'state': 'CLOSED', 'updatedAt': '2022-06-30T13:08:23Z'}]"
Add admin field to /yunite/guilds responses,Mathspy,{'Mathspy'},1723,https://github.com/weiks/esports-backend/pull/1723,MERGED,2022-06-29T16:09:36Z,2022-06-29T15:59:37Z,2022-06-29T16:56:19Z,set(),[]
Check that the user passed the preflight step in the join procedure,alexangc,{'alexangc'},1715,https://github.com/weiks/esports-backend/pull/1715,MERGED,2022-06-29T16:53:20Z,2022-06-28T12:29:28Z,2022-06-29T16:53:21Z,set(),"[{'assignees': {'alexangc'}, 'labels': set(), 'number': 1539, 'title': '[Backend] Check pre-flight check token in /join', 'url': 'https://github.com/weiks/esports-backend/issues/1539', 'state': 'CLOSED', 'updatedAt': '2022-06-29T19:57:27Z'}]"
Yunite authorize servers button,gonzalovelasco,{'gonzalovelasco'},1717,https://github.com/weiks/esports-backend/pull/1717,CLOSED,2022-06-29T15:53:42Z,2022-06-28T17:14:16Z,2022-06-29T15:53:42Z,set(),"[{'assignees': {'gonzalovelasco'}, 'labels': set(), 'number': 1503, 'title': '[Frontend] If an unauthorized server is selected show ""Authorize server with Yunite"" button', 'url': 'https://github.com/weiks/esports-backend/issues/1503', 'state': 'OPEN', 'updatedAt': '2022-06-28T13:47:22Z'}]"
Verify yunite tournament,gonzalovelasco,{'gonzalovelasco'},1711,https://github.com/weiks/esports-backend/pull/1711,MERGED,2022-06-28T16:20:22Z,2022-06-24T20:43:00Z,2022-06-29T15:01:03Z,set(),"[{'assignees': {'gonzalovelasco'}, 'labels': set(), 'number': 1708, 'title': '[Backend] Endpoint to verify a Yunite tournament can be connected to a PoQ event', 'url': 'https://github.com/weiks/esports-backend/issues/1708', 'state': 'CLOSED', 'updatedAt': '2022-06-28T17:15:11Z'}]"
Added links explaining the practice of a WIP limit,bmcilw1,{'bmcilw1'},1648,https://github.com/weiks/esports-backend/pull/1648,MERGED,2022-06-13T18:54:48Z,2022-06-13T18:54:13Z,2022-06-27T21:39:03Z,{'docs'},[]
Auto run test:blockchain daily,mikiasyonas,{'mikiasyonas'},1570,https://github.com/weiks/esports-backend/pull/1570,MERGED,2022-06-06T17:52:22Z,2022-06-03T19:10:34Z,2022-06-27T21:36:28Z,"{'cleanup', 'help wanted', 'good for newcomers', 'interview'}","[{'assignees': {'mikiasyonas'}, 'labels': {'cleanup', 'good for newcomers', 'interview'}, 'number': 1451, 'title': '[Cleanup] Create an event that runs test:blockchain manually once per day', 'url': 'https://github.com/weiks/esports-backend/issues/1451', 'state': 'CLOSED', 'updatedAt': '2022-06-08T20:47:56Z'}]"
"Revert ""Auto run test:blockchain daily (#1570)""",mikiasyonas,{'mikiasyonas'},1578,https://github.com/weiks/esports-backend/pull/1578,CLOSED,2022-06-06T19:06:10Z,2022-06-06T18:07:43Z,2022-06-27T21:36:21Z,{'interview'},[]
Review test reports,mikiasyonas,{'mikiasyonas'},1582,https://github.com/weiks/esports-backend/pull/1582,CLOSED,2022-06-06T21:19:01Z,2022-06-06T21:01:13Z,2022-06-27T21:36:16Z,{'interview'},[]
Auto Run blockchain tests,mikiasyonas,{'mikiasyonas'},1579,https://github.com/weiks/esports-backend/pull/1579,MERGED,2022-06-06T19:32:01Z,2022-06-06T19:15:07Z,2022-06-27T21:36:09Z,{'interview'},[]
Review test reports,mikiasyonas,{'mikiasyonas'},1580,https://github.com/weiks/esports-backend/pull/1580,MERGED,2022-06-06T20:15:30Z,2022-06-06T20:04:11Z,2022-06-27T21:36:01Z,"{'help wanted', 'interview'}",[]
revert cron to be run daily,mikiasyonas,{'mikiasyonas'},1583,https://github.com/weiks/esports-backend/pull/1583,MERGED,2022-06-06T21:26:27Z,2022-06-06T21:21:30Z,2022-06-27T21:35:54Z,{'interview'},[]
Fixed the cronjob for daily blockchain test,mikiasyonas,{'mikiasyonas'},1598,https://github.com/weiks/esports-backend/pull/1598,MERGED,2022-06-07T20:52:55Z,2022-06-07T20:36:44Z,2022-06-27T21:35:48Z,"{'cleanup', 'good for newcomers', 'interview'}","[{'assignees': {'mikiasyonas'}, 'labels': {'cleanup', 'good for newcomers', 'interview'}, 'number': 1451, 'title': '[Cleanup] Create an event that runs test:blockchain manually once per day', 'url': 'https://github.com/weiks/esports-backend/issues/1451', 'state': 'CLOSED', 'updatedAt': '2022-06-08T20:47:56Z'}]"
having the cronjob email notifier to execute only on failed tests,mikiasyonas,{'mikiasyonas'},1607,https://github.com/weiks/esports-backend/pull/1607,MERGED,2022-06-08T17:37:01Z,2022-06-08T12:11:18Z,2022-06-27T21:35:40Z,{'interview'},[]
